RK,NAME,TEAM,SALARY
236,"Maurice Harkless, SF",Orlando Magic,"$1,809,840 "
237,"Nikola Vucevic, C",Orlando Magic,"$1,793,520 "
238,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$1,792,560 "
239,"Anthony Randolph, SF",Denver Nuggets,"$1,750,000 "
240,"Jeff Ayres, PF",San Antonio Spurs,"$1,750,000 "
241,"Luigi Datome, SF",Detroit Pistons,"$1,750,000 "
242,"Iman Shumpert, SG",New York Knicks,"$1,703,760 "
243,"Reggie Evans, C",Sacramento Kings,"$1,695,635 "
244,"Jeremy Evans, SF",Utah Jazz,"$1,660,257 "
245,"Tyler Zeller, C",Cleveland Cavaliers,"$1,633,440 "
246,"Chris Singleton, SF",Washington Wizards,"$1,618,680 "
247,"Toney Douglas, PG",Miami Heat,"$1,600,000 "
248,"John Lucas III, PG",Utah Jazz,"$1,600,000 "
249,"Pablo Prigioni, PG",New York Knicks,"$1,591,350 "
250,"Terrence Jones, PF",Houston Rockets,"$1,551,840 "
251,"Jodie Meeks, SG",Los Angeles Lakers,"$1,550,000 "
252,"Tobias Harris, SF",Orlando Magic,"$1,545,840 "
253,"Shane Larkin, PG",Dallas Mavericks,"$1,536,960 "
254,"Ronny Turiaf, C",Minnesota Timberwolves,"$1,500,000 "
255,"Miroslav Raduljica, C",Milwaukee Bucks,"$1,500,000 "
256,"James Jones, SG",Miami Heat,"$1,500,000 "
257,"Gustavo Ayon, PF",Atlanta Hawks,"$1,500,000 "
258,"Andrew Nicholson, PF",Orlando Magic,"$1,482,000 "
259,"Sergey Karasev, SG",Cleveland Cavaliers,"$1,467,840 "
260,"Nando De Colo, PG",Toronto Raptors,"$1,463,000 "
261,"Evan Fournier, SF",Denver Nuggets,"$1,422,720 "
262,"Donatas Motiejunas, PF",Houston Rockets,"$1,422,720 "
263,"Tony Snell, SG",Chicago Bulls,"$1,409,040 "
264,"Willie Green, SG",LA Clippers,"$1,399,507 "
265,"Rashard Lewis, PF",Miami Heat,"$1,399,507 "
266,"Chris Andersen, PF",Miami Heat,"$1,399,507 "
267,"Scotty Hopson, SG",Cleveland Cavaliers,"$1,388,400 "
268,"Andray Blatche, C",Brooklyn Nets,"$1,375,604 "
269,"Kenneth Faried, PF",Denver Nuggets,"$1,367,640 "
270,"Jared Sullinger, C",Boston Celtics,"$1,365,720 "
271,"Gorgui Dieng, C",Minnesota Timberwolves,"$1,352,640 "
272,"Dennis Schroder, PG",Atlanta Hawks,"$1,348,200 "
273,"Victor Claver, PF",Portland Trail Blazers,"$1,330,000 "
274,"Mason Plumlee, C",Brooklyn Nets,"$1,298,640 "
275,"Francisco Garcia, SG",Houston Rockets,"$1,265,977 "
276,"Reggie Jackson, PG",Oklahoma City Thunder,"$1,260,360 "
277,"John Jenkins, SG",Atlanta Hawks,"$1,258,800 "
278,"Solomon Hill, SF",Indiana Pacers,"$1,246,680 "
279,"MarShon Brooks, SG",Los Angeles Lakers,"$1,210,080 "
280,"Hasheem Thabeet, C",Oklahoma City Thunder,"$1,200,000 "
281,"Pero Antic, PF",Atlanta Hawks,"$1,200,000 "
282,"Tim Hardaway Jr., SF",New York Knicks,"$1,196,760 "
283,"Jordan Hamilton, SG",Houston Rockets,"$1,169,880 "
284,"Tony Wroten, SG",Philadelphia 76ers,"$1,160,040 "
285,"Reggie Bullock, SF",LA Clippers,"$1,149,000 "
286,"Patty Mills, PG",San Antonio Spurs,"$1,133,950 "
287,"Norris Cole, PG",Miami Heat,"$1,129,200 "
288,"Miles Plumlee, C",Phoenix Suns,"$1,121,520 "
289,"Cory Joseph, PG",San Antonio Spurs,"$1,120,920 "
290,"Jimmy Butler, SG",Chicago Bulls,"$1,112,880 "
291,"Nick Young, SG",Los Angeles Lakers,"$1,106,942 "
292,"Arnett Moultrie, PF",Philadelphia 76ers,"$1,089,240 "
293,"Perry Jones, SF",Oklahoma City Thunder,"$1,082,520 "
294,"Rudy Gobert, C",Utah Jazz,"$1,078,800 "
295,"Marquis Teague, PG",Brooklyn Nets,"$1,074,720 "
296,"Festus Ezeli, C",Portland Trail Blazers,"$1,066,920 "
297,"Archie Goodwin, SG",Phoenix Suns,"$1,064,400 "
298,"Nemanja Nedovic, PG",Golden State Warriors,"$1,056,720 "
299,"Kyle Singler, SF",Detroit Pistons,"$1,045,000 "
300,"Anthony Morrow, SG",New Orleans Pelicans,"$1,027,424 "
301,"Lance Stephenson, SG",Indiana Pacers,"$1,005,000 "
302,"Andrew Bynum, C",Indiana Pacers,"$1,000,000 "
303,"Ish Smith, PG",Phoenix Suns,"$951,463 "
304,"Byron Mullens, C",Philadelphia 76ers,"$947,907 "
305,"Alan Anderson, SG",Brooklyn Nets,"$947,907 "
306,"Austin Daye, SF",Toronto Raptors,"$947,907 "
307,"Chandler Parsons, SF",Houston Rockets,"$926,500 "
308,"Jeff Adrien, SF",Charlotte Bobcats,"$916,099 "
309,"Jon Leuer, PF",Memphis Grizzlies,"$900,000 "
310,"Shelvin Mack, PG",Atlanta Hawks,"$884,293 "
311,"Josh Harrellson, C",Detroit Pistons,"$884,293 "
312,"Donald Sloan, PG",Indiana Pacers,"$884,293 "
313,"Jannero Pargo, PG",Charlotte Bobcats,"$884,293 "
314,"Julyan Stone, PG",Toronto Raptors,"$884,293 "
