RK,NAME,TEAM,SALARY
422,"Toney Douglas, PG",New Orleans Pelicans,"$107,676 "
423,"Chris Johnson, SG",Utah Jazz,"$107,676 "
424,"Nate Robinson, PG",LA Clippers,"$107,676 "
425,"Jorge Gutierrez, PG",Brooklyn Nets,"$96,056 "
426,"Toure' Murry, SF",Washington Wizards,"$96,056 "
427,"Bryce Cotton, PG",Utah Jazz,"$92,514 "
428,"Tim Frazier, PG",Portland Trail Blazers,"$59,686 "
429,"Jack Cooley, PF",Utah Jazz,"$59,686 "
430,"Jabari Brown, SG",Los Angeles Lakers,"$59,686 "
431,"Tyrus Thomas, PF",Memphis Grizzlies,"$53,838 "
432,"A.J. Price, PG",Phoenix Suns,"$53,838 "
433,"Austin Daye, SF",San Antonio Spurs,"$53,838 "
434,"Ricky Ledo, SG",New York Knicks,"$48,028 "
435,"Seth Curry, SG",Phoenix Suns,"$48,028 "
436,"Andre Dawkins, SG",Miami Heat,"$29,843 "
437,"David Stockton, PG",Sacramento Kings,"$29,483 "
